"male_properties"
"Basis"
"L1_African"
"L1_Anime"
"L1_Asian"
"L1_Caucasian"
"L1_Dwarf"
"L1_Elf"
"L1_Latin"
"L2__Abdomen_Mass-Tone_max-max"
"L2__Abdomen_Mass-Tone_max-min"
"L2__Abdomen_Mass-Tone_min-max"
"L2__Abdomen_Mass-Tone_min-min"
"L2__Armpit_PosZ_max"
"L2__Armpit_PosZ_min"
"L2__Arms_ForearmLength_max"
"L2__Arms_ForearmLength_min"
"L2__Arms_ForearmMass-ForearmTone_max-max"
"L2__Arms_ForearmMass-ForearmTone_max-min"
"L2__Arms_ForearmMass-ForearmTone_min-max"
"L2__Arms_ForearmMass-ForearmTone_min-min"
"L2__Arms_ForearmSize_max"
"L2__Arms_ForearmSize_min"
"L2__Arms_UpperarmGirth_max"
"L2__Arms_UpperarmGirth_min"
"L2__Arms_UpperarmLength_max"
"L2__Arms_UpperarmLength_min"
"L2__Arms_UpperarmMass-UpperarmTone_max-max"
"L2__Arms_UpperarmMass-UpperarmTone_max-min"
"L2__Arms_UpperarmMass-UpperarmTone_min-max"
"L2__Arms_UpperarmMass-UpperarmTone_min-min"
"L2__Arms_UpperarmSize_max"
"L2__Arms_UpperarmSize_min"
"L2__Body_Size_max"
"L2__Body_Size_min"
"L2__Chest_Girth_max"
"L2__Chest_Girth_min"
"L2__Chest_SizeX_max"
"L2__Chest_SizeX_min"
"L2__Chest_SizeY_max"
"L2__Chest_SizeY_min"
"L2__Chest_SizeZ_max"
"L2__Chest_SizeZ_min"
"L2__Elbows_Size_max"
"L2__Elbows_Size_min"
"L2__Eyes_IrisSize_max"
"L2__Eyes_IrisSize_min"
"L2__Fantasy_EarsNone_max"
"L2__Fantasy_EarsPointRotation_max"
"L2__Fantasy_EarsPointRotation_min"
"L2__Fantasy_EarsPointedDown_max"
"L2__Fantasy_EarsPointedUp_max"
"L2__Fantasy_EarsPointed_max"
"L2__Fantasy_EarsPointed_min"
"L2__Fantasy_PupilCat_max"
"L2__Fantasy_PupilCat_min"
"L2__Fantasy_TeethOrc_max"
"L2__Fantasy_TeethVampire_max"
"L2__Fantasy_TeethVampire_min"
"L2__Feet_HeelWidth_max"
"L2__Feet_HeelWidth_min"
"L2__Feet_Mass_max"
"L2__Feet_Mass_min"
"L2__Feet_SizeX_max"
"L2__Feet_SizeX_min"
"L2__Feet_SizeY_max"
"L2__Feet_SizeY_min"
"L2__Feet_SizeZ_max"
"L2__Feet_SizeZ_min"
"L2__Feet_Size_max"
"L2__Feet_Size_min"
"L2__Hands_FingersDiam_max"
"L2__Hands_FingersDiam_min"
"L2__Hands_FingersInterDist_max"
"L2__Hands_FingersInterDist_min"
"L2__Hands_FingersLength_max"
"L2__Hands_FingersLength_min"
"L2__Hands_FingersTipSize_max"
"L2__Hands_FingersTipSize_min"
"L2__Hands_Length_max"
"L2__Hands_Length_min"
"L2__Hands_Mass-Tone_max-max"
"L2__Hands_Mass-Tone_max-min"
"L2__Hands_Mass-Tone_min-max"
"L2__Hands_Mass-Tone_min-min"
"L2__Hands_PalmLength_max"
"L2__Hands_PalmLength_min"
"L2__Hands_Size_max"
"L2__Hands_Size_min"
"L2__Head_SizeX_max"
"L2__Head_SizeX_min"
"L2__Head_SizeZ_max"
"L2__Head_SizeZ_min"
"L2__Head_Size_max"
"L2__Head_Size_min"
"L2__Legs_AnkleSize_max"
"L2__Legs_AnkleSize_min"
"L2__Legs_Bow_max"
"L2__Legs_Bow_min"
"L2__Legs_CalfGirth_max"
"L2__Legs_CalfGirth_min"
"L2__Legs_KneeProminence_max"
"L2__Legs_KneeProminence_min"
"L2__Legs_KneeSize_max"
"L2__Legs_KneeSize_min"
"L2__Legs_LowerThighGirth_max"
"L2__Legs_LowerThighGirth_min"
"L2__Legs_LowerlegLength_max"
"L2__Legs_LowerlegLength_min"
"L2__Legs_LowerlegSize_max"
"L2__Legs_LowerlegSize_min"
"L2__Legs_LowerlegsMass-LowerlegsTone_max-max"
"L2__Legs_LowerlegsMass-LowerlegsTone_max-min"
"L2__Legs_LowerlegsMass-LowerlegsTone_min-max"
"L2__Legs_LowerlegsMass-LowerlegsTone_min-min"
"L2__Legs_UpperThighGirth_max"
"L2__Legs_UpperThighGirth_min"
"L2__Legs_UpperlegInCurve_max"
"L2__Legs_UpperlegInCurve_min"
"L2__Legs_UpperlegLength_max"
"L2__Legs_UpperlegLength_min"
"L2__Legs_UpperlegSize_max"
"L2__Legs_UpperlegSize_min"
"L2__Legs_UpperlegsMass-UpperlegsTone_max-max"
"L2__Legs_UpperlegsMass-UpperlegsTone_max-min"
"L2__Legs_UpperlegsMass-UpperlegsTone_min-max"
"L2__Legs_UpperlegsMass-UpperlegsTone_min-min"
"L2__Neck_Angle_max"
"L2__Neck_Angle_min"
"L2__Neck_Back_max"
"L2__Neck_Back_min"
"L2__Neck_Collarbone_max"
"L2__Neck_Collarbone_min"
"L2__Neck_Length_max"
"L2__Neck_Length_min"
"L2__Neck_Mass-Tone_max-max"
"L2__Neck_Mass-Tone_max-min"
"L2__Neck_Mass-Tone_min-max"
"L2__Neck_Mass-Tone_min-min"
"L2__Neck_SideCurve_max"
"L2__Neck_SideCurve_min"
"L2__Neck_Size_max"
"L2__Neck_Size_min"
"L2__Neck_TrapeziousSize_max"
"L2__Neck_TrapeziousSize_min"
"L2__Pelvis_CrotchDist_max"
"L2__Pelvis_CrotchDist_min"
"L2__Pelvis_CrotchVolume_max"
"L2__Pelvis_CrotchVolume_min"
"L2__Pelvis_Girth_max"
"L2__Pelvis_Girth_min"
"L2__Pelvis_GluteusMass-GluteusTone_max-max"
"L2__Pelvis_GluteusMass-GluteusTone_max-min"
"L2__Pelvis_GluteusMass-GluteusTone_min-max"
"L2__Pelvis_GluteusMass-GluteusTone_min-min"
"L2__Pelvis_GluteusSize_max"
"L2__Pelvis_GluteusSize_min"
"L2__Pelvis_Length_max"
"L2__Pelvis_Length_min"
"L2__Pelvis_SizeX_max"
"L2__Pelvis_SizeX_min"
"L2__Pelvis_SizeY_max"
"L2__Pelvis_SizeY_min"
"L2__Shoulders_Length_max"
"L2__Shoulders_Length_min"
"L2__Shoulders_Mass-Tone_max-max"
"L2__Shoulders_Mass-Tone_max-min"
"L2__Shoulders_Mass-Tone_min-max"
"L2__Shoulders_Mass-Tone_min-min"
"L2__Shoulders_PosZ_max"
"L2__Shoulders_PosZ_min"
"L2__Shoulders_SizeX2_max"
"L2__Shoulders_SizeX2_min"
"L2__Shoulders_SizeX_max"
"L2__Shoulders_SizeX_min"
"L2__Shoulders_Size_max"
"L2__Shoulders_Size_min"
"L2__Stomach_LocalFat_max"
"L2__Stomach_LocalFat_min"
"L2__Stomach_Volume_max"
"L2__Stomach_Volume_min"
"L2__Torso_BellyPosZ_max"
"L2__Torso_BellyPosZ_min"
"L2__Torso_BreastMass-Mass-Tone_max-max-max"
"L2__Torso_BreastMass-Mass-Tone_max-max-min"
"L2__Torso_BreastMass-Mass-Tone_max-min-max"
"L2__Torso_BreastMass-Mass-Tone_max-min-min"
"L2__Torso_BreastMass-Mass-Tone_min-max-max"
"L2__Torso_BreastMass-Mass-Tone_min-max-min"
"L2__Torso_BreastMass-Mass-Tone_min-min-max"
"L2__Torso_BreastMass-Mass-Tone_min-min-min"
"L2__Torso_Dorsi_max"
"L2__Torso_Dorsi_min"
"L2__Torso_Length_max"
"L2__Torso_Length_min"
"L2__Torso_Mass-Tone_max-max"
"L2__Torso_Mass-Tone_max-min"
"L2__Torso_Mass-Tone_min-max"
"L2__Torso_Mass-Tone_min-min"
"L2__Torso_SizeX_max"
"L2__Torso_SizeX_min"
"L2__Torso_SizeY_max"
"L2__Torso_SizeY_min"
"L2__Torso_ToracicCurve_max"
"L2__Torso_ToracicCurve_min"
"L2__Torso_Vshape_max"
"L2__Torso_Vshape_min"
"L2__Waist_Size_max"
"L2__Waist_Size_min"
"L2__Wrists_Size_max"
"L2__Wrists_Size_min"
"L2_African_Cheeks_CreaseExt_max"
"L2_African_Cheeks_CreaseExt_min"
"L2_African_Cheeks_InfraVolume_max"
"L2_African_Cheeks_InfraVolume_min"
"L2_African_Cheeks_Mass-Tone_max-max"
"L2_African_Cheeks_Mass-Tone_max-min"
"L2_African_Cheeks_Mass-Tone_min-max"
"L2_African_Cheeks_Mass-Tone_min-min"
"L2_African_Cheeks_SideCrease_max"
"L2_African_Cheeks_SideCrease_min"
"L2_African_Cheeks_ZygomPosZ_max"
"L2_African_Cheeks_ZygomPosZ_min"
"L2_African_Cheeks_Zygom_max"
"L2_African_Cheeks_Zygom_min"
"L2_African_Chin_Cleft_max"
"L2_African_Chin_Cleft_min"
"L2_African_Chin_Prominence_max"
"L2_African_Chin_Prominence_min"
"L2_African_Chin_SizeX_max"
"L2_African_Chin_SizeX_min"
"L2_African_Chin_SizeZ_max"
"L2_African_Chin_SizeZ_min"
"L2_African_Chin_Tone_max"
"L2_African_Chin_Tone_min"
"L2_African_Ears_Lobe_max"
"L2_African_Ears_Lobe_min"
"L2_African_Ears_LocY_max"
"L2_African_Ears_LocY_min"
"L2_African_Ears_LocZ_max"
"L2_African_Ears_LocZ_min"
"L2_African_Ears_RotX_max"
"L2_African_Ears_RotX_min"
"L2_African_Ears_Round_max"
"L2_African_Ears_Round_min"
"L2_African_Ears_SizeX_max"
"L2_African_Ears_SizeX_min"
"L2_African_Ears_SizeY_max"
"L2_African_Ears_SizeY_min"
"L2_African_Ears_SizeZ_max"
"L2_African_Ears_SizeZ_min"
"L2_African_Eyebrows_Angle_max"
"L2_African_Eyebrows_Angle_min"
"L2_African_Eyebrows_Droop_max"
"L2_African_Eyebrows_Droop_min"
"L2_African_Eyebrows_PosZ_max"
"L2_African_Eyebrows_PosZ_min"
"L2_African_Eyebrows_Ridge_max"
"L2_African_Eyebrows_Ridge_min"
"L2_African_Eyebrows_SizeY_max"
"L2_African_Eyebrows_SizeY_min"
"L2_African_Eyebrows_Tone_max"
"L2_African_Eyebrows_Tone_min"
"L2_African_Eyelids_Angle_max"
"L2_African_Eyelids_Angle_min"
"L2_African_Eyelids_Crease_max"
"L2_African_Eyelids_Crease_min"
"L2_African_Eyelids_InnerPosZ_max"
"L2_African_Eyelids_InnerPosZ_min"
"L2_African_Eyelids_LowerCurve_max"
"L2_African_Eyelids_LowerCurve_min"
"L2_African_Eyelids_MiddlePosZ_max"
"L2_African_Eyelids_MiddlePosZ_min"
"L2_African_Eyelids_OuterPosZ_max"
"L2_African_Eyelids_OuterPosZ_min"
"L2_African_Eyelids_SizeZ_max"
"L2_African_Eyelids_SizeZ_min"
"L2_African_Eyes_BagProminence_max"
"L2_African_Eyes_BagProminence_min"
"L2_African_Eyes_BagSize_max"
"L2_African_Eyes_BagSize_min"
"L2_African_Eyes_Crosscalibration_max"
"L2_African_Eyes_Crosscalibration_min"
"L2_African_Eyes_InnerPosX_max"
"L2_African_Eyes_InnerPosX_min"
"L2_African_Eyes_InnerPosZ_max"
"L2_African_Eyes_InnerPosZ_min"
"L2_African_Eyes_OuterPosX_max"
"L2_African_Eyes_OuterPosX_min"
"L2_African_Eyes_OuterPosZ_max"
"L2_African_Eyes_OuterPosZ_min"
"L2_African_Eyes_PosX_max"
"L2_African_Eyes_PosX_min"
"L2_African_Eyes_PosZ_max"
"L2_African_Eyes_PosZ_min"
"L2_African_Eyes_SizeZ_max"
